Ontology1,Ontology2,Entity1,Entity2,Parent1,Parent2,Path1,Path2,Match,Type
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,TechReport,Reference,Entry,Thing/Reference/Misc,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Manual,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Misc,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Misc,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Inproceedings,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Book,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Unpublished,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Article,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Incollection,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Proceedings,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Entry,Reference,Thing,Thing/Reference/Misc,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Inbook,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Conference,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Mastersthesis,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Booklet,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Misc,Phdthesis,Reference,Entry,Thing/Reference/Misc,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,TechReport,Thing,Entry,Thing/Organization,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Manual,Thing,Entry,Thing/Organization,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Misc,Thing,Entry,Thing/Organization,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Inproceedings,Thing,Entry,Thing/Organization,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Book,Thing,Entry,Thing/Organization,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Unpublished,Thing,Entry,Thing/Organization,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Article,Thing,Entry,Thing/Organization,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Incollection,Thing,Entry,Thing/Organization,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Proceedings,Thing,Entry,Thing/Organization,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Entry,Thing,Thing,Thing/Organization,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Inbook,Thing,Entry,Thing/Organization,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Conference,Thing,Entry,Thing/Organization,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Mastersthesis,Thing,Entry,Thing/Organization,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Booklet,Thing,Entry,Thing/Organization,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Organization,Phdthesis,Thing,Entry,Thing/Organization,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,TechReport,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Manual,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Misc,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Inproceedings,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Book,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Unpublished,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Article,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Incollection,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Proceedings,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Entry,Academic,Thing,Thing/Reference/Academic/PhdThesis,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Inbook,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Conference,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Mastersthesis,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Booklet,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,PhdThesis,Phdthesis,Academic,Entry,Thing/Reference/Academic/PhdThesis,Thing/Entry/Phdthesis,1,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,TechReport,Thing,Entry,Thing/Address,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Manual,Thing,Entry,Thing/Address,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Misc,Thing,Entry,Thing/Address,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inproceedings,Thing,Entry,Thing/Address,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Book,Thing,Entry,Thing/Address,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Unpublished,Thing,Entry,Thing/Address,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Article,Thing,Entry,Thing/Address,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Incollection,Thing,Entry,Thing/Address,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Proceedings,Thing,Entry,Thing/Address,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Entry,Thing,Thing,Thing/Address,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Inbook,Thing,Entry,Thing/Address,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Conference,Thing,Entry,Thing/Address,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Mastersthesis,Thing,Entry,Thing/Address,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Booklet,Thing,Entry,Thing/Address,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,Address,Phdthesis,Thing,Entry,Thing/Address,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,TechReport,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/TechReport,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Manual,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Manual,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Misc,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Misc,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Inproceedings,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Inproceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Book,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Book,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Unpublished,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Unpublished,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Article,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Article,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Incollection,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Incollection,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Proceedings,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Proceedings,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Entry,Reference,Thing,Thing/Reference/MotionPicture,Thing/Entry,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Inbook,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Inbook,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Conference,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Conference,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Mastersthesis,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Mastersthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Booklet,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Booklet,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,MotionPicture,Phdthesis,Reference,Entry,Thing/Reference/MotionPicture,Thing/Entry/Phdthesis,0,Class
dataset1/ontologies/101.rdf,dataset1/ontologies/301.rdf,InProceedings,TechReport,Part,Entry,Thing/Reference/Part/InProceedings,Thing/Entry/TechReport,0,Class
